AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,EQDIASQ,SOLIDITY,CONVEX_AREA,EXTENT,ASPECT_RATIO,ROUNDNESS,COMPACTNESS,SHAPEFACTOR_1,SHAPEFACTOR_2,SHAPEFACTOR_3,SHAPEFACTOR_4,Class
68358.0,1942.187,,234.7525,0.8207,295.0188,0.8765,,0.6772,1.7502,0.2277,0.7181,0.006,0.0034,0.5156,0.9024,
,1279.4301,470.0632,297.6283,0.774,373.5941,0.9911,,0.7697,,,0.7948,0.0043,0.0027,0.6317,0.9976,Siit_Pistachio
81286.0,1105.582,423.8947,246.3304,0.8138,321.7088,0.9887,82215.0,0.7775,1.7208,0.8357,0.7589,0.0052,0.003,0.576,0.9912,Siit_Pistachio
103409.0,2052.6111,488.2375,280.9924,0.8178,362.8559,0.9369,110373.0,0.6557,1.7375,0.3084,0.7432,0.0047,0.0027,0.5523,0.9597,Siit_Pistachio
75725.0,1163.835,391.0428,253.5031,0.7614,310.5094,0.9562,79194.0,0.7097,1.5426,0.7025,0.7941,0.0052,0.0033,0.6305,0.9726,Siit_Pistachio
,1148.184,435.527,244.6119,0.8274,,0.9878,84535.0,0.7328,1.7805,0.796,0.7487,0.0052,0.0029,0.5605,0.998,
94959.0,,448.3601,270.9605,0.7967,347.7148,0.9891,96009.0,0.7077,1.6547,0.8906,0.7755,0.0047,0.0029,0.6014,0.9952,Siit_Pistachio
86946.0,1374.001,441.3451,261.3407,0.8058,332.7207,0.9361,92886.0,0.755,,0.5787,0.7539,0.0051,0.003,0.5683,0.9598,Siit_Pistachio
81904.0,2216.842,,259.017,0.8021,322.9294,0.8921,91809.0,0.7281,1.6744,0.2094,0.7446,0.0053,0.0032,0.5544,0.9283,Kirmizi_Pistachio
,,,218.9131,,298.8394,0.9062,77399.0,,1.952,0.2341,,0.0061,0.0031,0.4891,0.9547,Kirmizi_Pistachio
81656.0,,,237.3117,0.8558,322.4402,0.9164,89104.0,0.7482,1.9331,0.7155,0.7029,0.0056,0.0029,,0.955,Kirmizi_Pistachio
,1425.6281,464.782,240.1123,0.8562,332.0542,0.9585,90349.0,0.7624,1.9357,0.5354,0.7144,0.0054,0.0028,0.5104,0.988,Siit_Pistachio
76570.0,2283.5969,,265.1375,0.7872,312.237,0.8695,88067.0,0.619,1.6215,0.1845,0.7263,0.0056,0.0035,0.5275,0.8553,Siit_Pistachio
91081.0,1296.701,513.0668,231.2566,0.8927,340.5406,0.9708,93820.0,0.7511,2.2186,0.6807,,0.0056,0.0025,0.4405,0.9774,Kirmizi_Pistachio
91907.0,1149.077,417.4875,,0.7372,342.0813,0.9906,92780.0,,1.4801,0.8747,,0.0045,0.0031,0.6714,0.9937,Siit_Pistachio
90075.0,1221.2371,453.2749,257.6564,0.8227,338.6548,0.9617,93663.0,0.7365,1.7592,0.759,0.7471,0.005,0.0029,0.5582,0.982,Siit_Pistachio
67479.0,,408.6271,214.1121,0.8517,293.1159,0.969,69635.0,,1.9085,0.6647,0.7173,0.0061,0.0032,0.5145,0.982,Kirmizi_Pistachio
68731.0,,428.4363,212.2543,0.8687,295.8226,,73191.0,0.7417,2.0185,0.6388,,0.0062,0.0031,0.4767,0.9623,Kirmizi_Pistachio
,1195.726,,264.2506,,344.5088,0.9568,97428.0,0.6619,1.7413,,0.7487,0.0049,0.0028,0.5605,0.9761,Siit_Pistachio
84808.0,1248.8621,483.3014,235.8735,0.8728,328.6045,,91015.0,0.6554,2.049,0.6833,0.6799,0.0057,0.0028,0.4623,0.9472,Siit_Pistachio
87357.0,1788.918,444.6218,264.1679,0.8044,333.5062,0.9345,93477.0,,1.6831,0.343,0.7501,0.0051,0.003,0.5626,0.947,Siit_Pistachio
,1353.047,,,0.8885,334.0136,0.9719,90156.0,,2.179,0.6015,0.6724,0.0057,0.0026,0.4521,0.9851,Kirmizi_Pistachio
84143.0,1170.386,474.2799,,0.8772,327.3136,0.9864,85307.0,0.7556,2.0827,0.7719,0.6901,0.0056,0.0027,0.4763,0.9919,
98991.0,1742.339,479.3621,,0.8295,355.0201,0.9515,104041.0,0.7855,1.7904,0.4098,0.7406,0.0048,0.0027,0.5485,,Siit_Pistachio
87728.0,1916.079,466.1459,267.3908,0.8191,334.2137,0.8576,102293.0,0.6723,1.7433,0.3003,0.717,0.0053,,0.514,0.8961,Kirmizi_Pistachio
82481.0,1272.8669,502.6743,213.0986,0.9057,324.0649,0.9662,,0.794,,,0.6447,0.0061,0.0026,0.4156,0.9804,Kirmizi_Pistachio
,1313.674,,,0.8523,345.9085,0.9787,,,1.9118,0.6843,0.7202,0.0051,0.0027,0.5187,0.9917,
93391.0,,470.119,257.8197,0.8362,344.832,0.9544,,0.7136,1.8234,0.722,0.7335,,0.0028,0.538,0.9811,Siit_Pistachio
,1441.259,451.0457,205.2553,0.8905,296.0764,0.934,,0.6459,2.1975,0.4165,0.6564,0.0066,0.003,0.4309,0.9469,Kirmizi_Pistachio
69853.0,1062.259,432.1109,206.9556,0.8778,298.2274,0.9897,70583.0,0.7471,2.0879,0.7779,0.6902,0.0062,0.003,,0.9945,Kirmizi_Pistachio
77788.0,,,245.592,0.8038,314.7106,0.9642,80677.0,0.7315,1.6811,0.7748,0.7622,0.0053,0.0032,0.581,0.9768,Siit_Pistachio
69397.0,1901.536,420.0135,239.6857,0.8212,297.2524,0.8848,78434.0,0.6584,1.7524,0.2412,0.7077,0.0061,0.0035,0.5009,0.8777,Kirmizi_Pistachio
74843.0,1158.202,432.663,232.6371,0.8431,308.6957,0.9543,78426.0,0.7205,1.8598,0.7011,,0.0058,0.0031,0.5091,0.9467,Kirmizi_Pistachio
,1579.481,458.4065,239.1979,0.8531,325.7559,0.9447,88226.0,0.7224,1.9164,0.4198,0.7106,0.0055,0.0029,0.505,0.9678,Siit_Pistachio
105052.0,,482.7813,,,365.7272,0.9399,111775.0,0.7191,1.6674,0.4874,,0.0046,,0.5739,0.9569,Siit_Pistachio
84987.0,,,238.2535,,,0.9764,87045.0,0.7701,,0.8272,0.7117,0.0054,0.0028,0.5066,,Kirmizi_Pistachio
92868.0,1163.1219,435.7098,273.1259,0.7791,343.8651,0.992,,0.7304,1.5953,0.8626,0.7892,0.0047,,0.6228,0.9936,Siit_Pistachio
75617.0,1385.859,,229.166,0.8575,310.2879,0.9346,80907.0,0.6575,1.9439,0.4948,0.6965,0.0059,0.003,0.4851,0.9431,Kirmizi_Pistachio
93607.0,1272.7,449.7164,268.5431,0.8021,345.2306,0.9649,97009.0,0.7786,1.6747,0.7262,0.7677,0.0048,,0.5893,,Kirmizi_Pistachio
74733.0,1117.505,439.6594,219.0761,0.867,308.4688,0.9712,76950.0,0.7132,2.0069,,0.7016,0.0059,0.0029,0.4923,0.9879,Kirmizi_Pistachio
72714.0,1151.325,432.3479,217.9682,0.8636,304.2735,0.9809,74133.0,0.7431,1.9835,0.6893,0.7038,0.0059,0.003,0.4953,0.9824,Kirmizi_Pistachio
87604.0,2022.63,468.8341,257.6761,0.8354,333.9774,0.908,96480.0,0.694,,0.2691,0.7124,,0.0029,0.5075,0.9233,Siit_Pistachio
,1158.7371,423.247,252.54,0.8025,322.6415,0.986,82916.0,0.7065,1.676,0.7652,0.7623,0.0052,,,,Siit_Pistachio
74244.0,2004.193,431.8755,249.3853,0.8164,307.4579,,,0.657,1.7318,0.2323,0.7119,0.0058,0.0034,0.5068,0.8777,Kirmizi_Pistachio
80982.0,1198.704,,217.9012,,321.1067,0.9682,83644.0,0.7887,,0.7082,0.6625,0.006,0.0027,0.439,0.9763,Kirmizi_Pistachio
,1172.774,450.7991,199.7804,0.8964,293.448,0.9534,70939.0,0.68,2.2565,0.6179,0.651,,0.003,0.4237,0.9562,Kirmizi_Pistachio
81255.0,,458.453,234.3112,0.8595,321.6474,0.9365,86763.0,0.702,1.9566,0.2752,0.7016,0.0056,0.0029,,0.9631,Siit_Pistachio
74419.0,,415.7977,232.5284,0.829,307.8201,0.933,,0.6907,1.7882,0.4723,0.7403,,0.0031,0.5481,0.98,Kirmizi_Pistachio
78792.0,1216.697,461.4282,225.2631,0.8727,316.735,0.9625,81864.0,0.7519,2.0484,0.6688,0.6864,0.0059,0.0029,0.4712,0.9652,Kirmizi_Pistachio
74420.0,1109.038,424.9153,,0.8496,307.8222,0.9821,,0.7416,1.8961,0.7603,,0.0057,0.003,0.5248,0.9951,
83810.0,1174.391,458.6697,239.0431,,326.6653,0.9547,87784.0,0.6908,1.9188,0.7636,0.7122,0.0055,0.0029,0.5072,0.9733,Siit_Pistachio
74337.0,,429.0904,223.6611,0.8534,307.6505,0.9858,75405.0,0.76,1.9185,0.8005,0.717,0.0058,0.003,,0.9862,Kirmizi_Pistachio
,1142.004,430.097,238.9188,0.8315,316.1516,0.9534,82343.0,0.7486,1.8002,0.7564,0.7351,,0.003,0.5403,0.9727,Siit_Pistachio
84745.0,1138.689,449.0708,240.7367,0.8442,328.4824,0.9914,85478.0,0.6908,1.8654,,0.7315,0.0053,0.0028,0.5351,0.9981,Siit_Pistachio
94948.0,1184.8521,456.392,,0.81,347.6946,0.9908,95826.0,0.7605,,0.8499,0.7618,0.0048,0.0028,0.5804,0.9896,
94042.0,1230.337,,,0.8519,346.0318,0.9897,95020.0,0.7184,1.9098,0.7807,0.7198,0.0051,0.0027,0.5182,0.9896,Siit_Pistachio
98007.0,1273.3101,493.9856,254.769,0.8567,353.2512,0.9823,99772.0,,1.939,0.7596,0.7151,0.005,,0.5114,0.9915,
55916.0,1646.803,367.609,207.5332,0.8254,266.8229,0.894,62543.0,0.6959,1.7713,0.2591,0.7258,,0.0037,0.5268,0.9332,
72150.0,1220.829,,216.1273,0.8776,303.0911,0.9208,78355.0,0.6826,2.0864,0.6083,0.6722,0.0062,0.003,0.4518,0.9426,Kirmizi_Pistachio
,1369.5129,410.5071,161.1114,0.9198,254.3338,,54737.0,0.6813,2.548,0.3404,0.6196,0.0081,0.0032,0.3839,0.9781,
,1131.11,440.8425,239.5633,0.8395,324.279,0.9887,83536.0,0.7517,1.8402,0.8112,0.7356,0.0053,0.0029,0.5411,0.9957,
,1867.463,438.0012,235.8488,0.8426,315.438,0.9302,84013.0,0.735,1.8571,0.2816,0.7202,0.0056,0.003,0.5187,0.9632,Kirmizi_Pistachio
63007.0,2204.22,413.6373,,0.8506,283.2367,0.8639,72937.0,0.7129,1.9018,0.163,,0.0066,0.0035,0.4689,0.8917,Kirmizi_Pistachio
91398.0,1386.325,488.1544,240.4808,0.8702,341.1328,0.9788,93376.0,0.7289,2.0299,0.5976,0.6988,0.0053,0.0026,0.4884,0.9913,Kirmizi_Pistachio
,1192.386,476.4101,241.2878,0.8623,338.6472,0.989,91071.0,0.7384,1.9744,0.7961,0.7108,,0.0027,0.5053,0.9977,Siit_Pistachio
,1149.484,432.704,217.6391,0.8643,300.5325,0.9331,,0.7246,1.9882,0.6746,0.6945,0.0061,0.0031,,0.9591,Kirmizi_Pistachio
,2746.7729,457.8702,295.9154,0.7631,342.3529,0.8668,106195.0,0.6856,1.5473,0.1533,,0.005,0.0032,0.5591,0.865,Siit_Pistachio
,1256.673,488.9931,231.5746,0.8808,,0.9037,90047.0,0.7368,2.1116,0.6475,0.6583,0.006,0.0028,0.4333,0.915,Kirmizi_Pistachio
,1120.0959,432.41,233.2345,0.8421,316.8938,0.9877,79856.0,0.768,1.854,0.79,0.7329,0.0055,0.003,0.5371,0.9957,Siit_Pistachio
70579.0,,432.6053,211.7505,0.872,299.7732,0.9514,74186.0,0.718,2.043,0.4527,,0.0061,0.003,0.4802,0.981,Kirmizi_Pistachio
78693.0,1198.9449,479.975,211.0565,0.8981,316.536,0.9751,80701.0,0.7494,2.2742,0.6879,0.6595,0.0061,0.0027,0.4349,0.9891,
,2071.4451,418.0258,217.1458,0.8545,288.94,,73054.0,0.5945,1.9251,0.192,0.6912,0.0064,0.0033,0.4778,0.9197,Kirmizi_Pistachio
88447.0,1436.5551,497.9858,231.0954,0.8858,335.5804,0.9609,92045.0,0.7658,2.1549,,0.6739,0.0056,0.0026,0.4541,0.9786,Kirmizi_Pistachio
,1206.1429,432.2519,280.2038,0.7614,345.5015,0.9678,96877.0,,1.5426,0.8098,0.7993,0.0046,0.003,0.6389,0.9856,Siit_Pistachio
,,486.5347,210.9681,0.9011,317.0966,0.9651,81826.0,0.6427,2.3062,0.6344,0.6517,0.0062,0.0027,0.4248,,Kirmizi_Pistachio
69080.0,1713.439,434.3565,213.7013,0.8706,296.5727,0.9217,74947.0,0.6828,2.0325,0.2957,,,0.0031,0.4662,0.9476,Kirmizi_Pistachio
,1077.906,431.7112,207.9155,0.8764,291.6309,0.9384,71179.0,,2.0764,0.7224,0.6755,0.0065,0.0031,0.4563,0.9475,Kirmizi_Pistachio
